RUN	GenericSageMakerScenario	1628679131-ml.m5.large-1-60TPS	1628679133774	 	3.2.0
REQUEST	116		SageMaker-LEARNING-model-simulator-1	1628679137973	1628679137983	OK	 
USER	SageMaker	116	END	1628679137972	1628679137983
USER	SageMaker	117	START	1628679137992	1628679137992
USER	SageMaker	118	START	1628679138002	1628679138002
REQUEST	117		SageMaker-LEARNING-model-simulator-1	1628679137994	1628679138014	OK	 
USER	SageMaker	117	END	1628679137992	1628679138015
REQUEST	118		SageMaker-LEARNING-model-simulator-1	1628679138004	1628679138016	OK	 
USER	SageMaker	118	END	1628679138002	1628679138016
USER	SageMaker	119	START	1628679138023	1628679138023
REQUEST	119		SageMaker-LEARNING-model-simulator-1	1628679138024	1628679138036	OK	 
USER	SageMaker	119	END	1628679138023	1628679138037
USER	SageMaker	120	START	1628679138043	1628679138043
USER	SageMaker	121	START	1628679138053	1628679138053
REQUEST	121		SageMaker-LEARNING-model-simulator-1	1628679138054	1628679138064	OK	 
USER	SageMaker	121	END	1628679138053	1628679138065
REQUEST	120		SageMaker-LEARNING-model-simulator-1	1628679138044	1628679138065	OK	 
USER	SageMaker	120	END	1628679138043	1628679138066
USER	SageMaker	122	START	1628679138072	1628679138072
REQUEST	122		SageMaker-LEARNING-model-simulator-1	1628679138073	1628679138092	OK	 
USER	SageMaker	123	START	1628679138092	1628679138092
USER	SageMaker	122	END	1628679138072	1628679138093
USER	SageMaker	124	START	1628679138102	1628679138102
REQUEST	123		SageMaker-LEARNING-model-simulator-1	1628679138093	1628679138102	OK	 
USER	SageMaker	123	END	1628679138092	1628679138103
REQUEST	124		SageMaker-LEARNING-model-simulator-1	1628679138103	1628679138112	OK	 
USER	SageMaker	124	END	1628679138102	1628679138113
USER	SageMaker	125	START	1628679138122	1628679138122
USER	SageMaker	126	START	1628679138143	1628679138143
REQUEST	125		SageMaker-LEARNING-model-simulator-1	1628679138124	1628679138145	OK	 
USER	SageMaker	125	END	1628679138122	1628679138145
USER	SageMaker	127	START	1628679138153	1628679138153
REQUEST	126		SageMaker-LEARNING-model-simulator-1	1628679138144	1628679138155	OK	 
USER	SageMaker	126	END	1628679138143	1628679138156
REQUEST	127		SageMaker-LEARNING-model-simulator-1	1628679138155	1628679138167	OK	 
USER	SageMaker	127	END	1628679138153	1628679138168
USER	SageMaker	128	START	1628679138172	1628679138172
REQUEST	128		SageMaker-LEARNING-model-simulator-1	1628679138174	1628679138187	OK	 
USER	SageMaker	128	END	1628679138172	1628679138187
USER	SageMaker	129	START	1628679138193	1628679138193
USER	SageMaker	130	START	1628679138203	1628679138203
REQUEST	129		SageMaker-LEARNING-model-simulator-1	1628679138194	1628679138204	OK	 
USER	SageMaker	129	END	1628679138193	1628679138205
REQUEST	130		SageMaker-LEARNING-model-simulator-1	1628679138204	1628679138217	OK	 
USER	SageMaker	130	END	1628679138203	1628679138217
USER	SageMaker	131	START	1628679138223	1628679138223
REQUEST	131		SageMaker-LEARNING-model-simulator-1	1628679138224	1628679138234	OK	 
USER	SageMaker	131	END	1628679138223	1628679138235
